ID,Destination,Notes,Country Code,Country No,Type of data (a),1990,Male_1990,Female_1990,1995,Male_1995,Female_1995,2000,Male_2000,Female_2000,2005,Male_2005,Female_2005,2010,Male_2010,Female_2010,2015,Male_2015,Female_2015
9,Burundi,,BDI,108,B R,333110,163267,169843,254853,124165,130688,125628,61094,64534,172874,84805,88069,235259,115823,119436,286810,141311,145499
10,Comoros,,COM,174,B,14079,6717,7362,13939,6614,7325,13799,6511,7288,13209,6286,6923,12618,6060,6558,12555,6071,6484
11,Djibouti,,DJI,262,B R,122221,64242,57979,99774,52476,47298,100507,52920,47587,92091,51315,40776,101575,53295,48280,112351,59081,53270
12,Eritrea,,ERI,232,I,11848,6228,5620,12400,6542,5858,12952,6856,6096,14314,7729,6585,15676,8603,7073,15941,8833,7108
13,Ethiopia,,ETH,231,B R,1155390,607284,548106,806904,424117,382787,611384,322219,289165,514242,269725,244517,567720,297534,270186,1072949,547062,525887
14,Kenya,,KEN,404,B R,297292,160852,136440,618745,322189,296556,699139,348594,350545,756894,391310,365584,926959,459343,467616,1084357,541644,542713
15,Madagascar,,MDG,450,C,23917,13348,10569,21177,11901,9276,23541,13276,10265,26058,14744,11314,28905,16410,12495,32075,18270,13805
16,Malawi,,MWI,454,B R,1127724,546520,581204,241624,116198,125426,232620,111530,121090,221661,105931,115730,217722,103869,113853,215158,102544,112614
17,Mauritius,-1,MUS,480,C,3613,1763,1850,7493,3228,4265,15543,5705,9838,19647,8943,10704,24836,13188,11648,28585,15832,12753
18,Mayotte,,MYT,175,B,15229,8780,6449,26316,14679,11637,45474,23546,21928,63176,31364,31812,72757,34500,38257,76992,35623,41369
19,Mozambique,,MOZ,508,B R,122332,66060,56272,168256,91210,77046,195702,103175,92527,204830,102500,102330,214612,104676,109936,222928,107955,114973
20,Réunion,,REU,638,B,57210,30724,26486,77159,40710,36449,100678,52264,48414,115076,59196,55880,123029,62707,60322,127209,64537,62672
21,Rwanda,,RWA,646,B R,159869,80690,79179,233200,117931,115269,347076,175685,171391,432797,217027,215770,436787,218425,218362,441525,220017,221508
22,Seychelles,,SYC,690,B,3721,2204,1517,5148,3021,2127,6574,3837,2737,8997,5820,3177,11420,7804,3616,12791,8954,3837
23,Somalia,,SOM,706,I R,478294,244201,234093,19527,10282,9245,20087,10622,9465,20670,11047,9623,23995,12914,11081,25291,13760,11531
24,South Sudan,,SSD,728,B R,0,0,0,0,0,0,0,0,0,0,0,0,257905,132693,125212,824122,420949,403173
25,Uganda,,UGA,800,B R,558307,290084,268223,634620,321360,313260,634703,314325,320378,652968,322421,330547,529160,261646,267514,749471,374438,375033
26,United Republic of Tanzania,-2,TZA,834,B R,574025,283390,290635,1106043,547089,558954,928180,470962,457218,770846,486774,284072,308600,153984,154616,261222,130404,130818
