ID,Destination,Notes,Country Code,Country No,Type of data (a),1990,Male_1990,Female_1990,1995,Male_1995,Female_1995,2000,Male_2000,Female_2000,2005,Male_2005,Female_2005,2010,Male_2010,Female_2010,2015,Male_2015,Female_2015
99,Afghanistan,,AFG,4,B,20133783,10962571,9171212,10807701,6084196,4723505,13551878,7739501,5812377,11415179,6286914,5128265,14911915,8224973,6686942,14419686,7532759,6886927
154,Albania,,ALB,8,B,529973,322076,207897,1470445,827378,643067,2422781,1335723,1087058,2830528,1512988,1317540,3248199,1685107,1563092,3271670,1657061,1614609
40,Algeria,,DZA,12,C R,2676616,1515670,1160946,2839944,1597273,1242671,3013847,1687746,1326101,4692120,2449690,2242430,4800916,2656421,2144495,5176395,2839231,2337164
257,American Samoa,,ASM,16,B,6217,3189,3028,7948,4087,3861,9786,5057,4729,8144,4213,3931,5925,3138,2787,6105,3234,2871
155,Andorra,,AND,20,C,10730,4991,5739,12241,5731,6510,16869,8057,8812,17300,8298,9002,21360,10275,11085,22713,10803,11910
30,Angola,,AGO,24,B R,1663734,813488,850246,1383094,687494,695600,1734739,862910,871829,1485270,730673,754597,1403693,695093,708600,1314096,648625,665471
182,Anguilla,,AIA,660,B,6035,3155,2880,7580,3928,3652,9143,4690,4453,9073,4624,4449,6806,3541,3265,7136,3697,3439
183,Antigua and Barbuda,,ATG,28,B,50786,23092,27694,86222,48197,38025,123325,74105,49220,138999,84977,54022,152742,94358,58384,164784,101131,63653
218,Argentina,,ARG,32,B,1186105,561982,624123,1313838,629039,684799,1515083,735063,780020,2251985,1118269,1133716,2604772,1290035,1314737,2617017,1278563,1338454
109,Armenia,,ARM,51,B R,2654237,1288798,1365439,2646103,1338319,1307784,2529161,1356511,1172650,2599002,1408866,1190136,2657522,1433404,1224118,2722534,1466171,1256363
184,Aruba,,ABW,533,B,27853,12589,15264,27823,12437,15386,28319,12541,15778,33619,14976,18643,36450,16113,20337,43572,19554,24018
240,Australia,-22,AUS,36,B,847058,397582,449476,954603,446505,508098,1062473,495764,566709,1193248,567317,625931,1358472,651230,707242,1463583,697877,765706
171,Austria,,AUT,40,B,1395983,656088,739895,1363102,642012,721090,1330899,626761,704138,1447752,667764,779988,1580162,699759,880403,1651042,736762,914280
110,Azerbaijan,-9,AZE,31,B R,4892071,2296697,2595374,5125883,2521018,2604865,4869012,2530512,2338500,4323826,2251115,2072711,3516780,1874558,1642222,3417160,1837936,1579224
185,Bahamas,,BHS,44,B,52381,22293,30088,60530,25949,34581,71748,31024,40724,71898,31243,40655,73371,31373,41998,84446,35990,48456
111,Bahrain,,BHR,48,C,35312,16958,18354,85392,53430,31962,140666,92415,48251,146605,100458,46147,158269,111365,46904,163867,115553,48314
100,Bangladesh,,BGD,50,B R,16321180,9466947,6854233,16184667,9429358,6755309,16178095,9486056,6692039,17119741,10329861,6789880,20028228,12913193,7115035,21357113,14000589,7356524
186,Barbados,,BRB,52,B,196879,93786,103093,203278,96694,106584,215298,102267,113031,209494,99246,110248,208225,97455,110770,223375,104057,119318
129,Belarus,,BLR,112,B,5279700,2437099,2842601,5214198,2344179,2870019,5047927,2202643,2845284,4726581,2038197,2688384,4370653,1849832,2520821,4386323,1853992,2532331
172,Belgium,,BEL,56,C,1019313,439683,579630,1052285,454650,597635,1136141,494115,642026,1260077,580525,679552,1403900,630209,773691,1522610,684988,837622
209,Belize,,BLZ,84,B R,77382,32433,44949,86903,36495,50408,99890,42164,57726,107073,45879,61194,116860,49537,67323,127738,54039,73699
54,Benin,,BEN,204,C B R,481183,261525,219658,560922,303115,257807,657399,350538,306861,824892,442061,382831,1055267,560885,494382,1260456,669962,590494
233,Bermuda,,BMU,60,B,204700,99011,105689,116385,56498,59887,31302,15447,15855,33551,16559,16992,36993,18246,18747,39714,19403,20311
101,Bhutan,,BTN,64,B,85048,41551,43497,353533,179321,174212,360148,184039,176109,352469,179823,172646,256364,131514,124850,130051,67084,62967
219,Bolivia (Plurinational State of),,BOL,68,B,640037,329748,310289,800451,408781,391670,972798,493723,479075,1562161,763098,799063,2254861,1062471,1192390,2312911,1087044,1225867
187,"Bonaire, Sint Eustatius and Saba",-20,BES,535,B,12975,6495,6480,14664,7260,7404,16701,8178,8523,19101,9342,9759,25728,12096,13632,26760,12573,14187
156,Bosnia and Herzegovina,,BIH,70,I R,2471211,1225650,1245561,3967358,1932634,2034724,4280104,2072997,2207107,4378607,2106157,2272450,4659961,2234431,2425530,4789960,2301016,2488944
48,Botswana,,BWA,72,C,51031,37848,13183,45657,30719,14938,52131,31445,20686,61493,36593,24900,89372,53295,36077,116467,69889,46578
220,Brazil,,BRA,76,B,1401771,638689,763082,2076052,936344,1139708,2662563,1178798,1483765,3340254,1459440,1880814,4213799,1796985,2416814,4248666,1787970,2460696
